type,text
本文,その時の石村の凝視の眼光と頑丈な硬い掌とに、青木はぞっと身が凍る思いをした。
本文,その感じが、あの喜劇のさなかを妻の登志子に覗かれた瞬間の感じと、ふしぎに相似たものがあって、青木は更にぞっとした。
本文,青木は反抗的に言葉を探して、ばかなことを口走ってしまった。
本文,「私は今西巻子を少しも愛してはいません。
本文,然し、あの女は、あなたと気が合いそうです。
本文,ほかのことに使ってごらんなすったら、屹度役に立つだろうと、私は思います。」
本文,余計なことを言って、失策ったと思い、青木は唇をかんだ。
本文,石村は冷かに答えた。
本文,「ああ、考えておこう。」
本文,青木はくるりと向き返って、扉から出て行った。
本文,そして証券会社の扉の前で、ちょっと躊躇したが、只今の失策がまた胸に来て、中へははいらず、足早に通りすぎてしまった。
